order_id,customers_name,city,state,order_date,sales_units,total_revenues,product_name,category_name,store_name,sales_rep
62,"Denis Logan",Ridgecrest,CA,2016-02-07,2,485.9820,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Mireya Copeland"
72,"Cesar Wilkins","San Diego",CA,2016-02-12,2,797.9400,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
72,"Cesar Wilkins","San Diego",CA,2016-02-12,1,522.4905,"Electra Townie Original 21D - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
72,"Cesar Wilkins","San Diego",CA,2016-02-12,2,485.9820,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
77,"Rochelle Ward",Glendora,CA,2016-02-16,1,557.9907,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
77,"Rochelle Ward",Glendora,CA,2016-02-16,2,989.9820,"Electra Townie Original 21D - 2016","Comfort Bicycles","Santa Cruz Bikes","Mireya Copeland"
77,"Rochelle Ward",Glendora,CA,2016-02-16,1,479.9920,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Santa Cruz Bikes","Mireya Copeland"
77,"Rochelle Ward",Glendora,CA,2016-02-16,1,399.9920,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Mireya Copeland"
79,"Ellena Clements","Santa Monica",CA,2016-02-17,2,5399.9820,"Trek Conduit+ - 2016","Electric Bikes","Santa Cruz Bikes","Genna Serrano"
79,"Ellena Clements","Santa Monica",CA,2016-02-17,2,815.1000,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
79,"Ellena Clements","Santa Monica",CA,2016-02-17,1,422.9910,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
79,"Ellena Clements","Santa Monica",CA,2016-02-17,2,929.9814,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Genna Serrano"
83,"Gertrude Terry",Upland,CA,2016-02-19,1,479.9920,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
83,"Gertrude Terry",Upland,CA,2016-02-19,2,1899.9810,"Surly Wednesday Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
91,"Catrice Hicks","San Pablo",CA,2016-02-25,1,1512.8910,"Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Mireya Copeland"
91,"Catrice Hicks","San Pablo",CA,2016-02-25,1,474.9905,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Mireya Copeland"
91,"Catrice Hicks","San Pablo",CA,2016-02-25,2,985.7814,"Electra Moto 1 - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
91,"Catrice Hicks","San Pablo",CA,2016-02-25,2,502.1814,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
93,"Cindie Franklin",Lawndale,CA,2016-02-26,2,502.1814,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
93,"Cindie Franklin",Lawndale,CA,2016-02-26,1,407.5500,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
93,"Cindie Franklin",Lawndale,CA,2016-02-26,1,242.9910,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
93,"Cindie Franklin",Lawndale,CA,2016-02-26,1,599.9920,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
93,"Cindie Franklin",Lawndale,CA,2016-02-26,2,2881.1400,"Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Genna Serrano"
94,"Thurman Ellis",Pleasanton,CA,2016-02-27,1,522.4905,"Electra Townie Original 21D - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
94,"Thurman Ellis",Pleasanton,CA,2016-02-27,1,2319.9920,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
94,"Thurman Ellis",Pleasanton,CA,2016-02-27,1,1344.7920,"Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Mireya Copeland"
94,"Thurman Ellis",Pleasanton,CA,2016-02-27,2,502.1814,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Santa Cruz Bikes","Mireya Copeland"
103,"Brigida Larson","Canyon Country",CA,2016-03-03,1,398.9700,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
103,"Brigida Larson","Canyon Country",CA,2016-03-03,1,949.9905,"Surly Wednesday Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
103,"Brigida Larson","Canyon Country",CA,2016-03-03,1,359.2000,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
103,"Brigida Larson","Canyon Country",CA,2016-03-03,2,953.9820,"Electra Moto 1 - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
103,"Brigida Larson","Canyon Country",CA,2016-03-03,2,5399.9820,"Trek Conduit+ - 2016","Electric Bikes","Santa Cruz Bikes","Mireya Copeland"
107,"Kiara Deleon",Anaheim,CA,2016-03-06,1,359.2000,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
107,"Kiara Deleon",Anaheim,CA,2016-03-06,2,485.9820,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
118,"Danille Mcfarland",Rocklin,CA,2016-03-12,1,417.5700,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
118,"Danille Mcfarland",Rocklin,CA,2016-03-12,1,2696.9907,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
118,"Danille Mcfarland",Rocklin,CA,2016-03-12,1,437.0907,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
118,"Danille Mcfarland",Rocklin,CA,2016-03-12,2,1799.9820,"Surly Wednesday Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
118,"Danille Mcfarland",Rocklin,CA,2016-03-12,2,557.9814,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Mireya Copeland"
124,"Elouise Fry","Canyon Country",CA,2016-03-16,1,569.9905,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
124,"Elouise Fry","Canyon Country",CA,2016-03-16,1,2696.9907,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
124,"Elouise Fry","Canyon Country",CA,2016-03-16,2,7599.9810,"Trek Slash 8 27.5 - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
132,"Monika Berg",Encino,CA,2016-03-20,2,1424.9810,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
132,"Monika Berg",Encino,CA,2016-03-20,1,569.9905,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
132,"Monika Berg",Encino,CA,2016-03-20,1,2699.9910,"Trek Conduit+ - 2016","Electric Bikes","Santa Cruz Bikes","Genna Serrano"
142,"Regine Gonzales",Oxnard,CA,2016-03-26,2,1079.9820,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
142,"Regine Gonzales",Oxnard,CA,2016-03-26,2,3025.7820,"Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Genna Serrano"
142,"Regine Gonzales",Oxnard,CA,2016-03-26,1,417.5700,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
146,"Keturah Massey",Banning,CA,2016-03-28,2,1599.9840,"Surly Wednesday Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
146,"Keturah Massey",Banning,CA,2016-03-28,1,494.9910,"Electra Townie Original 21D - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
146,"Keturah Massey",Banning,CA,2016-03-28,2,1079.9820,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
146,"Keturah Massey",Banning,CA,2016-03-28,2,892.9810,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
146,"Keturah Massey",Banning,CA,2016-03-28,1,697.4907,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
150,"Reena Higgins","Canyon Country",CA,2016-03-29,1,3599.9910,"Trek Slash 8 27.5 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
150,"Reena Higgins","Canyon Country",CA,2016-03-29,1,799.9920,"Surly Wednesday Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
150,"Reena Higgins","Canyon Country",CA,2016-03-29,1,398.9700,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
150,"Reena Higgins","Canyon Country",CA,2016-03-29,2,929.9814,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Mireya Copeland"
151,"Katina Mcintosh",Bakersfield,CA,2016-03-29,1,386.1000,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
151,"Katina Mcintosh",Bakersfield,CA,2016-03-29,1,539.9910,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Santa Cruz Bikes","Mireya Copeland"
154,"Dione Pratt",Pleasanton,CA,2016-03-31,1,494.9910,"Electra Townie Original 21D - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
156,"Sheri Cole","San Jose",CA,2016-04-03,2,718.4000,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
156,"Sheri Cole","San Jose",CA,2016-04-03,2,815.1000,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
156,"Sheri Cole","San Jose",CA,2016-04-03,1,437.0907,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
159,"Araceli Golden",Fullerton,CA,2016-04-04,1,215.9920,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
162,"Williemae Holloway",Oakland,CA,2016-04-06,1,417.5700,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
162,"Williemae Holloway",Oakland,CA,2016-04-06,2,502.1814,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
162,"Williemae Holloway",Oakland,CA,2016-04-06,2,1799.9820,"Surly Wednesday Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
165,"Adriene Rivera",Encino,CA,2016-04-08,2,5509.9810,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
165,"Adriene Rivera",Encino,CA,2016-04-08,1,239.9920,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
165,"Adriene Rivera",Encino,CA,2016-04-08,1,712.4905,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
168,"Kandace Ayers","Santa Monica",CA,2016-04-09,1,422.9910,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
168,"Kandace Ayers","Santa Monica",CA,2016-04-09,2,3126.6414,"Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Genna Serrano"
168,"Kandace Ayers","Santa Monica",CA,2016-04-09,2,1022.9814,"Electra Townie Original 21D - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
168,"Kandace Ayers","Santa Monica",CA,2016-04-09,2,431.9840,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
171,"Elvera Peck",Banning,CA,2016-04-11,1,1709.9905,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
177,"Lucy Woods","Palos Verdes Peninsula",CA,2016-04-16,2,1079.9820,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
181,"Latosha Dalton",Bakersfield,CA,2016-04-18,1,1471.5500,"Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Genna Serrano"
181,"Latosha Dalton",Bakersfield,CA,2016-04-18,1,1512.8910,"Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Genna Serrano"
181,"Latosha Dalton",Bakersfield,CA,2016-04-18,2,847.9840,"Electra Moto 1 - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
181,"Latosha Dalton",Bakersfield,CA,2016-04-18,2,1044.9810,"Electra Townie Original 21D - 2016","Comfort Bicycles","Santa Cruz Bikes","Genna Serrano"
185,"Corene Wall",Atwater,CA,2016-04-20,1,539.9910,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
185,"Corene Wall",Atwater,CA,2016-04-20,1,1709.9905,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
189,"Allie Conley",Lawndale,CA,2016-04-23,2,959.9840,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
191,"Ruthanne Hoover",Torrance,CA,2016-04-27,1,474.9905,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Mireya Copeland"
191,"Ruthanne Hoover",Torrance,CA,2016-04-27,2,879.9840,"Electra Townie Original 21D - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
191,"Ruthanne Hoover",Torrance,CA,2016-04-27,1,929.9907,"Surly Wednesday Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
191,"Ruthanne Hoover",Torrance,CA,2016-04-27,2,3419.9810,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
191,"Ruthanne Hoover",Torrance,CA,2016-04-27,1,284.9905,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Mireya Copeland"
193,"Trena Rogers",Campbell,CA,2016-04-28,2,989.9820,"Electra Townie Original 21D - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
202,"Joi Reeves","San Diego",CA,2016-05-03,1,1673.9907,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
202,"Joi Reeves","San Diego",CA,2016-05-03,1,407.5500,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
202,"Joi Reeves","San Diego",CA,2016-05-03,2,1006.9810,"Electra Moto 1 - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
202,"Joi Reeves","San Diego",CA,2016-05-03,2,949.9810,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Mireya Copeland"
216,"Angelina Lloyd","Apple Valley",CA,2016-05-11,2,485.9820,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
216,"Angelina Lloyd","Apple Valley",CA,2016-05-11,2,1139.9810,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
221,"Donovan Cantrell",Oakland,CA,2016-05-13,2,3126.6414,"Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Mireya Copeland"
224,"Carola Rodriquez",Banning,CA,2016-05-17,1,437.0907,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
224,"Carola Rodriquez",Banning,CA,2016-05-17,2,3025.7820,"Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Genna Serrano"
224,"Carola Rodriquez",Banning,CA,2016-05-17,2,2478.4000,"Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Genna Serrano"
224,"Carola Rodriquez",Banning,CA,2016-05-17,1,474.9905,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Genna Serrano"
225,"Fransisca Nicholson",Glendora,CA,2016-05-17,1,242.9910,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
225,"Fransisca Nicholson",Glendora,CA,2016-05-17,1,2699.9910,"Trek Conduit+ - 2016","Electric Bikes","Santa Cruz Bikes","Genna Serrano"
226,"Tony Hicks",Anaheim,CA,2016-05-17,1,712.4905,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
232,"Latashia Travis",Upland,CA,2016-05-20,1,417.5700,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
232,"Latashia Travis",Upland,CA,2016-05-20,2,3193.8810,"Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Genna Serrano"
232,"Latashia Travis",Upland,CA,2016-05-20,2,1115.9814,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Santa Cruz Bikes","Genna Serrano"
232,"Latashia Travis",Upland,CA,2016-05-20,2,3239.9820,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
247,"Joann Barber","Santa Monica",CA,2016-05-30,1,464.9907,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Genna Serrano"
247,"Joann Barber","Santa Monica",CA,2016-05-30,1,799.9920,"Surly Wednesday Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
257,"Joeann Garrison",Ontario,CA,2016-06-05,2,3347.9814,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
257,"Joeann Garrison",Ontario,CA,2016-06-05,2,431.9840,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
257,"Joeann Garrison",Ontario,CA,2016-06-05,2,2788.2000,"Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Genna Serrano"
257,"Joeann Garrison",Ontario,CA,2016-06-05,1,476.9910,"Electra Moto 1 - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
261,"Pasquale Hogan",Vista,CA,2016-06-08,2,1139.9810,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
261,"Pasquale Hogan",Vista,CA,2016-06-08,1,242.9910,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
